iso2c	Country	Year	AG.YLD.CREL.KG	EG.IMP.CONS.ZS	EG.USE.COMM.FO.ZS	FI.RES.TOTL.CD	MS.MIL.MPRT.KD	NY.GDP.PCAP.CD	SH.DYN.MORT	TX.VAL.MRCH.CD.WT	GDPPCKD	AG.PRD.CREL.MT	SP.POP.DPND	SP.POP.TOTL	EN.URB.LCTY.UR.ZS	SP.URB.TOTL.IN.ZS	SP.DYN.TFRT.IN	AG.LND.AGRI.ZS	EN.ATM.CO2E.PC	EG.USE.ELEC.KH.PC
CA	Canada	1960	NA	25.0194223712199	83.1924410253646	2012986399.82219	1.71e+08	2294.56881421577	32.6	5818300000	13499.5381675998	NA	70.662092266796	17909009	14.1033971195503	69.061	3.811	NA	10.7708472869716	5630.62981318508
CA	Canada	1961	984.989	18.3686201511449	83.6548998145593	2296085099.78786	1.747e+09	2231.2938237478	31.6	6085260000	13650.6502381515	16730306	70.9597352022839	18271000	14.3401135440836	69.8272	3.753	7.67855316593923	10.6278976520169	5605.11192600296
CA	Canada	1962	1595.418	10.5150459792226	84.333216189842	2561922009.97976	1.071e+09	2255.23004413036	30.5	6212630000	14352.6949075465	29261250	71.0491109092999	18614000	14.3991949277988	70.5934	3.681	7.69262913880339	11.1306274846889	5791.12495970775
CA	Canada	1963	1838.864	11.4219543397182	85.3444185408212	2615182919.97665	1.017e+09	2354.83912197975	29.4	6776990000	14817.7995714629	34122307	70.8763078790352	18964000	14.4597860352889	71.3596	3.607	7.70670511166755	11.132102404556	5966.04091963721
CA	Canada	1964	1527.185	10.0063097932797	85.4201311056283	2893026719.77319	7.28e+08	2529.5181790541	28.3	8037050000	15515.1639143885	28504578	70.3782757051864	19325000	14.5196646981079	72.1258	3.456	7.72067111599371	12.3053704010349	6468.92626131953
CA	Canada	1965	1730.392	11.5360184388181	86.2146622466963	3040845599.61372	5.27e+08	2739.58584928189	27.1	8473210000	16248.0400420995	32228771	69.5279848827893	19678000	14.5911081935041	72.892	3.115	7.73485705739588	12.814001473727	6909.89938001829
CA	Canada	1966	1972.662	8.38817470831609	85.6656005878623	2707536059.52166	2.73e+08	3010.70590757947	26	10004700000	16998.3525296803	38663261	68.3393079686899	20048000	14.7070863467064	73.4444	2.749	7.74882306172204	12.9349181464485	7359.08818834797
CA	Canada	1967	1518.985	8.25947788680044	85.797699429717	2722684399.53761	2.43e+08	3173.07619352225	25	10999800000	17181.9445811267	30080426	66.8710942895864	20412000	14.912626958263	73.9968	2.528	7.70923438804158	13.8103545953361	7630.16852831668
CA	Canada	1968	1734.488	7.02018547486901	85.7581426959485	3215953999.76914	3.24e+08	3411.06015434457	23.9	13171300000	17802.2349629585	34413439	65.2017574744719	20744000	15.1508559206403	74.5492	2.386	7.66953574582312	14.6326451986116	8030.41843424605
CA	Canada	1969	1959.231	2.00465007044498	85.260793354493	3111279599.49699	5e+08	3703.99040525529	23	14350100000	18485.5524104389	35922333	63.4232714966381	21028000	15.4311471725732	75.1016	2.334	7.62983710360466	14.6186486113753	8532.90850294845
CA	Canada	1970	2110.755	-4.82219986314658	84.6622417265424	4732515669.12572	6.73e+08	4047.26845485569	22	16786500000	18699.8838799324	28560715	61.607494252831	21324000	15.7123474250574	75.654	2.258	7.5901384613862	16.0141487525793	8962.20221346839
CA	Canada	1971	2145.235	-10.2487186529216	84.1541542986894	5828796874.59557	4.55e+08	4503.18074500725	21	18373600000	19180.6643178029	38859750	59.7846651972928	21645535.1670506	16.0672702718227	75.6454	2.141	7.55054978770574	16.2900901400095	9300.71714311102
CA	Canada	1972	1987.682	-15.9496427113397	84.0243177777995	6640225037.01882	3.98e+08	5048.48194303265	19.9	21185300000	19905.1088719909	35466355	57.9754633761541	21993630.7937617	16.0202848073635	75.6368	1.98	7.54527129788168	17.3294251674037	9903.77632699839
CA	Canada	1973	1951.253	-24.3962538423359	82.7933487235959	7305439390.25234	8.1e+07	5764.26110703229	18.9	26436900000	20933.6744330134	36600202	56.2209310086602	22369407.5086437	15.9570929186958	75.6282	1.89	7.54010277659562	17.0599522071623	10297.9482094458
CA	Canada	1974	1726.747	-18.6512960048482	82.2055043488747	8978681124.59827	1.96e+08	6915.8893428455	18	34507600000	21320.6272436411	30864826	54.5584383340537	22774087.2759336	15.8787470217147	75.6196	1.837	7.53493425530956	17.1234428530578	10820.6751389951
CA	Canada	1975	2052.219	-13.018307809907	84.0544383044523	7504994772.37201	2.23e+08	7354.26835769756	17	34074200000	21302.4867221985	37107574	53.0138078062821	23209000	15.7851839417823	75.611	1.824	7.5297657340235	17.1116133396527	10436.9425653841
CA	Canada	1976	2275.769	-6.48667935266337	83.3043130985559	7876979057.00699	2.8e+07	8624.61397225931	16	40598400000	22115.6244179864	44710278	51.5907137399075	23518000	15.7837261002902	75.6214	1.796	7.52459721273744	16.9792484479973	11043.8387617995
CA	Canada	1977	2265.9	-7.71002990655884	82.5157958519027	7301920192.4	2.8e+07	8731.67891661476	15.1	43544800000	22613.1299364109	42239008	50.2950730176217	23796000	15.868758958964	75.6318	1.782	7.46884316397079	16.7328063960329	11762.4810892587
CA	Canada	1978	2267.376	-5.43734640104809	81.2272854645753	8558511235.1716	1.72e+08	8931.29345460492	14.2	48431500000	23272.4411390372	41895782	49.1508575844393	24036000	15.9820284573585	75.6422	1.768	7.41308911520414	16.884127558662	12231.8605425196
CA	Canada	1979	2032.7	-10.4350637632291	81.4294161495702	14219997901.5587	2.35e+08	9831.07937063172	13.3	58293900000	23918.1215005578	35955000	48.1847211762976	24277000	16.0970529855863	75.6526	1.754	7.35722509789949	17.6163121061087	12384.1496066236
CA	Canada	1980	2141.152	-7.91942903943303	80.5667643071128	15461829328.5907	4.41e+08	10933.7315638172	12.5	6.7734e+10	24121.4041414229	41364700	47.411140510914	24593000	16.1654346186523	75.663	1.74	7.30147104913284	17.4255935428781	12763.7132517383
CA	Canada	1981	2346.378	-6.87961172122255	79.5129420935054	11671921351.9048	4.54e+08	12075.0245958394	11.8	7.2726e+10	24658.5870239805	50862200	46.8317021374796	24900000	16.2214903423025	75.8012	1.7	7.2457170003662	16.710916626506	13196.8273092369
